,Unibail-Rodamco,LOréal,Worldline SA,EssilorLuxottica,Bouygues,LEGRAND,SAFRAN,Dassault Systèmes,Sodexo,Publicis,Schneider Electric,Hermès (Hermes International,Accor,LVMH Moet Hennessy Louis Vuitton,Air Liquide
2020-04-03,46.0,,50.7,97.78,56.4,63.3,120.0,59.02,,27.12,74.82,23.4,,,
2020-04-02,49.96,239.4,51.86,95.22,56.74,68.82,126.3,57.62,25.31,25.1,73.5,22.99,602.4,329.2,112.95
2020-04-01,49.37,233.8,51.88,93.0,57.54,66.74,134.05,58.14,24.55,24.77,73.84,23.83,597.8,321.9,114.05
2020-03-31,49.91,238.3,53.6,99.08,58.98,80.8,131.05,60.86,26.64,23.28,76.0,25.0,630.8,337.0,114.6
2020-03-30,49.2,244.2,53.6,100.7,58.12,83.96,130.65,59.26,27.43,23.55,79.08,25.02,630.6,349.6,112.15
2020-03-27,53.28,237.1,53.95,101.45,57.94,87.12,128.35,62.92,28.47,22.84,80.12,26.34,642.4,347.0,107.0
2020-03-26,56.26,252.7,55.6,108.1,56.04,89.9,126.55,62.24,30.35,25.44,83.3,26.39,634.0,360.75,111.7
2020-03-25,56.98,252.0,55.5,111.85,60.24,84.34,139.8,61.68,29.49,25.6,74.0,25.99,628.0,374.0,110.25
2020-03-24,62.76,235.8,52.0,107.55,54.74,69.54,126.55,59.64,29.14,25.1,74.9,25.7,619.0,336.15,108.1
2020-03-23,66.0,217.1,47.34,98.54,48.59,58.12,116.8,56.94,27.1,21.77,67.7,24.03,587.8,309.75,106.95
2020-03-20,67.56,226.3,47.14,110.8,54.1,66.28,124.35,57.16,27.98,22.57,69.76,26.53,601.0,310.9,103.0
2020-03-19,57.64,228.0,38.18,100.0,50.84,54.32,123.3,49.64,24.58,22.11,67.22,23.31,540.8,295.0,104.55
2020-03-18,50.0,222.7,38.9,99.08,52.28,53.82,107.65,55.76,24.99,21.32,66.6,23.85,514.0,281.1,98.5
2020-03-17,54.06,221.2,44.18,95.84,51.46,69.34,106.95,52.76,25.21,22.67,71.94,25.43,560.2,312.9,105.8
2020-03-16,59.0,206.2,43.98,95.48,46.69,72.84,108.25,56.22,23.74,22.87,69.14,21.57,547.0,288.0,98.86
2020-03-13,74.36,220.0,52.05,102.75,53.4,88.1,122.5,63.18,26.24,25.56,70.92,24.27,588.6,315.85,105.0
2020-03-12,70.84,214.0,52.7,102.4,52.94,89.32,118.2,63.62,24.96,28.22,73.78,23.02,564.0,309.95,99.84
2020-03-11,91.0,226.5,58.6,108.15,61.2,102.95,130.0,72.84,30.58,29.94,83.04,27.23,591.2,328.15,113.0
2020-03-10,90.38,237.0,61.0,107.85,63.78,106.95,132.5,78.2,31.99,30.0,81.62,26.96,597.8,342.4,112.65
2020-03-09,89.44,242.7,62.05,110.0,62.78,108.5,132.85,77.46,32.37,30.71,79.48,28.08,610.6,328.25,111.45
2020-03-06,98.8,252.7,65.4,120.25,64.94,116.2,140.7,79.66,34.21,32.43,90.2,30.09,634.0,360.5,123.3
2020-03-05,101.55,257.6,69.15,124.85,69.34,120.4,144.65,82.94,37.07,33.28,96.46,33.06,659.4,370.4,125.9
2020-03-04,107.05,259.1,70.8,128.2,68.94,127.8,144.35,84.68,36.4,34.91,95.3,33.64,651.8,385.8,129.8
2020-03-03,107.0,252.6,71.6,128.8,69.5,126.55,145.3,87.08,35.75,34.48,94.74,32.83,646.0,380.6,125.5
2020-03-02,108.0,249.0,70.5,121.85,68.8,123.7,141.05,85.88,36.02,33.87,92.48,33.02,638.6,381.3,126.35
2020-02-28,107.7,239.1,69.35,121.0,69.16,122.5,140.3,86.44,35.64,34.14,90.3,32.0,620.2,369.35,122.7
2020-02-27,112.8,247.3,71.35,126.7,72.08,132.0,146.0,89.64,37.51,37.02,94.02,33.6,639.4,375.15,127.25
2020-02-26,117.5,252.7,72.85,129.45,73.38,131.3,147.15,92.72,38.04,37.93,96.96,34.29,656.0,381.3,131.4
2020-02-25,116.9,250.0,71.7,130.6,75.66,132.45,147.0,95.14,38.71,38.22,96.16,35.1,672.0,377.0,131.0
2020-02-24,119.0,255.1,72.0,133.5,75.78,138.4,149.4,97.08,38.99,40.47,97.74,35.9,671.0,383.0,132.5
2020-02-21,122.8,266.1,74.85,143.15,77.34,142.5,155.1,100.85,40.69,41.47,101.05,38.33,699.8,404.25,138.85
2020-02-20,126.0,267.8,75.5,142.55,76.74,145.7,157.35,101.15,41.01,42.2,103.05,38.77,704.8,411.55,139.3
2020-02-19,127.65,271.1,77.3,142.5,77.08,144.2,156.8,100.7,39.23,41.1,98.06,38.84,701.6,419.6,141.1
2020-02-18,126.25,269.1,75.8,140.25,76.76,144.7,155.1,99.58,38.37,41.03,97.16,38.67,700.0,409.15,139.9
2020-02-17,128.8,267.8,74.85,140.35,77.1,143.95,155.25,99.9,38.79,40.85,98.0,38.85,704.8,414.85,141.35
2020-02-14,126.95,267.9,73.5,139.15,76.3,144.5,154.75,100.45,38.41,40.68,96.9,38.66,705.6,415.1,139.0
2020-02-13,125.75,268.7,72.7,139.7,72.7,145.7,154.45,98.44,37.75,40.86,96.32,38.5,707.0,421.65,140.15
2020-02-12,127.8,271.1,73.25,138.75,74.4,147.75,155.5,98.98,37.85,40.95,96.58,38.17,697.2,425.75,139.3
2020-02-11,125.05,272.7,72.8,138.3,73.84,150.35,156.2,98.84,37.7,40.65,95.96,37.89,697.4,414.5,137.35
2020-02-10,122.1,270.9,72.3,136.65,72.94,149.25,154.4,97.42,37.39,40.79,95.44,37.87,691.4,412.7,134.85
2020-02-07,122.9,270.0,69.85,136.8,73.42,151.2,159.15,96.66,37.12,40.37,95.6,38.63,689.8,413.9,134.75
2020-02-06,123.25,280.0,69.25,137.05,73.02,147.1,156.75,96.5,36.76,41.47,96.72,38.8,691.2,417.55,135.3
2020-02-05,125.4,262.0,67.5,137.75,73.7,148.3,160.1,96.32,37.19,39.88,93.68,37.66,689.6,415.85,135.2
2020-02-04,123.8,262.0,63.3,136.05,73.6,148.8,158.9,95.6,36.66,40.0,92.24,37.88,679.6,412.55,133.2
2020-02-03,122.8,254.5,61.8,135.55,72.36,146.1,156.55,95.46,35.6,39.93,91.76,37.05,678.0,398.0,131.9
2020-01-31,122.55,252.0,63.65,135.3,73.96,146.5,158.85,94.66,35.73,40.28,91.46,37.41,676.8,394.9,131.75
2020-01-30,124.7,259.5,64.55,136.35,73.44,147.1,157.85,94.9,36.48,40.09,91.82,37.31,678.4,398.2,131.1
2020-01-29,126.0,261.4,65.45,138.3,73.4,143.95,159.85,97.84,36.88,40.83,93.58,37.28,693.4,406.85,131.5
2020-01-28,126.0,261.3,66.2,137.7,72.5,143.5,160.65,99.68,36.77,40.59,92.36,37.02,684.4,403.3,127.8
2020-01-27,129.0,258.4,65.8,135.8,72.5,143.05,161.3,97.3,36.68,40.83,91.92,36.68,674.8,403.9,127.15
2020-01-24,132.45,270.9,67.45,138.95,73.42,146.4,161.4,98.66,38.09,41.69,94.66,37.83,714.2,415.45,130.55
2020-01-23,131.85,266.7,65.35,139.4,71.8,142.2,160.4,98.5,37.79,41.29,92.46,38.44,709.8,413.8,128.75
2020-01-22,131.75,270.0,65.75,140.1,72.04,140.9,158.9,99.22,38.32,42.04,94.12,38.85,712.4,424.45,129.4
2020-01-21,132.95,270.7,65.4,143.05,72.16,142.45,158.25,100.15,38.42,42.02,93.52,39.33,718.0,428.05,128.9
2020-01-20,132.3,274.8,65.3,143.1,74.04,141.85,157.6,100.7,38.33,42.24,94.74,40.27,717.2,432.35,128.9
2020-01-17,134.4,275.2,65.2,144.45,72.54,142.5,155.5,101.0,37.98,41.97,94.34,40.29,724.0,438.6,130.05
2020-01-16,134.45,269.3,65.4,141.85,72.54,140.7,156.15,99.14,37.82,42.94,92.3,40.53,712.0,432.9,127.4
2020-01-15,132.65,269.4,64.85,141.8,72.6,139.7,153.6,100.75,38.15,43.16,92.44,40.85,698.6,431.15,126.65
2020-01-14,134.0,263.7,64.15,140.05,72.1,137.35,154.8,100.5,38.18,43.01,92.46,40.29,697.4,431.0,127.15
2020-01-13,131.5,261.7,64.9,140.0,72.32,137.0,153.9,99.98,37.72,43.05,92.04,40.52,686.6,429.95,126.3
2020-01-10,132.6,263.7,64.85,141.4,72.92,138.6,152.8,100.9,37.64,42.06,92.54,40.53,690.8,425.1,126.1
2020-01-09,135.05,262.8,65.25,141.35,72.98,137.85,152.9,101.0,38.01,42.24,92.22,40.59,690.4,425.0,125.6
2020-01-08,137.05,259.5,65.5,139.0,72.88,137.4,147.75,106.1,37.96,41.97,93.0,40.01,675.6,420.45,124.75
2020-01-07,138.9,259.1,65.15,137.25,73.6,136.6,147.95,104.85,37.76,41.09,92.52,40.34,679.2,415.75,124.85
2020-01-06,138.9,260.1,64.05,135.7,72.92,136.25,147.15,103.45,37.52,40.66,92.0,41.13,667.6,416.05,125.45
2020-01-03,141.35,263.9,64.45,136.05,73.4,137.55,147.2,104.65,38.04,40.54,92.82,41.55,671.4,419.75,126.0
2020-01-02,142.25,265.0,64.3,136.5,72.5,137.15,147.25,105.7,38.63,40.82,93.22,41.93,665.0,421.85,126.75
2019-12-30,139.9,264.6,62.9,136.5,73.98,140.0,147.35,105.85,38.15,40.91,92.32,42.1,676.6,416.65,126.45
2019-12-27,139.95,266.3,63.6,139.35,74.1,139.95,148.2,106.8,38.32,41.11,92.1,42.2,677.2,418.7,126.75
2019-12-23,139.0,265.4,64.2,138.3,73.74,141.0,146.85,105.6,38.4,40.7,92.42,42.09,676.6,414.25,126.45
2019-12-20,138.9,264.5,63.8,137.95,73.94,140.3,146.4,105.6,38.25,40.12,92.62,41.26,667.8,410.0,126.8
2019-12-19,139.9,258.7,62.1,138.6,73.16,139.1,143.75,104.65,38.07,39.98,91.6,41.31,662.4,401.05,124.75
2019-12-18,137.95,256.4,61.35,139.9,73.76,139.2,143.85,104.85,38.62,40.01,91.7,42.15,671.2,400.5,124.6
2019-12-17,139.3,258.0,61.8,140.85,73.42,139.45,144.25,105.5,38.48,39.92,92.38,42.37,670.6,401.9,124.45
2019-12-16,138.05,261.8,61.25,141.7,73.5,141.1,144.6,106.25,38.65,40.11,93.9,41.7,663.8,409.9,124.85
2019-12-13,138.45,257.4,59.9,140.0,73.4,146.8,141.8,104.9,38.21,39.83,93.6,40.5,665.4,404.25,123.75
2019-12-12,139.3,255.3,57.95,139.2,73.52,146.25,141.1,103.75,37.87,39.37,91.3,39.56,666.6,399.35,122.8
2019-12-11,140.6,255.0,57.35,139.15,72.7,145.95,142.65,105.65,37.84,39.48,90.44,39.1,664.8,398.85,122.3
2019-12-10,142.55,254.8,57.25,138.6,72.62,146.4,145.15,102.75,37.5,39.84,90.42,38.6,668.4,397.5,122.25
2019-12-09,142.05,254.7,57.6,137.0,72.72,148.5,145.3,104.2,37.4,39.93,90.36,38.67,667.6,400.0,122.55
2019-12-06,140.15,254.2,58.1,138.5,72.78,147.65,141.85,105.0,37.32,39.42,88.86,38.9,663.2,401.5,122.2
2019-12-05,139.4,251.3,57.4,137.7,72.76,146.4,141.4,104.85,37.05,39.7,89.52,38.3,661.6,397.25,120.95
2019-12-04,140.1,253.1,57.25,136.35,72.32,145.45,141.15,103.75,36.81,39.11,86.46,37.79,655.6,400.0,120.45
2019-12-03,139.05,252.0,57.1,135.2,71.24,143.2,139.65,103.95,36.27,39.0,86.52,38.13,649.2,393.45,118.5
2019-12-02,141.9,252.2,56.75,136.6,72.26,145.65,143.05,105.45,36.34,40.01,87.78,38.83,665.0,398.15,119.8
2019-11-29,141.15,258.4,58.2,141.2,71.8,148.85,142.4,104.85,36.94,39.24,88.6,39.07,679.0,407.05,123.1
2019-11-28,143.5,257.1,58.15,139.9,71.92,147.95,143.0,105.05,36.78,39.36,88.36,39.0,679.0,407.95,122.2
2019-11-27,141.35,257.0,58.2,140.95,72.14,149.0,143.4,106.05,37.24,39.34,88.58,39.59,677.4,410.0,121.95
2019-11-26,141.95,255.5,56.9,141.1,71.56,149.5,143.45,105.8,37.47,38.96,87.88,39.62,665.0,410.2,122.2
2019-11-25,141.7,255.6,55.65,139.85,71.76,149.2,140.55,107.0,37.16,39.02,87.34,38.98,660.2,407.3,122.15
2019-11-22,141.45,255.3,55.5,138.55,70.78,150.1,140.55,106.7,36.9,38.86,86.68,38.88,654.4,396.15,121.1
2019-11-21,141.05,255.7,54.65,138.0,71.12,149.85,140.85,105.25,36.91,38.86,86.16,38.84,659.4,396.65,120.7
2019-11-20,142.6,260.2,54.8,138.45,71.6,147.55,139.25,105.55,36.79,39.29,86.1,39.64,663.6,398.45,120.5
2019-11-19,143.65,261.1,54.9,140.15,72.08,148.55,141.4,106.45,37.13,38.93,88.28,39.77,661.0,398.15,122.15
2019-11-18,142.5,261.6,54.6,140.0,71.72,148.85,140.0,106.45,37.63,39.42,87.64,38.92,657.2,400.8,121.1
2019-11-15,142.75,261.4,55.05,139.15,71.34,150.25,139.9,106.3,38.62,39.03,87.7,38.75,658.4,408.35,121.45
2019-11-14,143.85,262.1,54.55,138.5,71.98,148.7,140.35,106.6,39.01,39.27,87.24,38.06,659.0,404.15,119.25
2019-11-13,142.65,262.5,54.75,137.75,71.32,148.35,138.85,105.95,38.62,39.97,86.54,38.33,648.6,403.3,120.0
2019-11-12,143.45,262.3,54.35,135.25,71.02,148.0,138.55,105.75,38.82,40.26,87.26,38.56,645.0,403.4,118.9
2019-11-11,145.0,263.7,55.0,135.5,70.8,146.65,139.35,105.1,38.34,39.89,87.46,39.57,648.4,405.3,119.05
2019-11-08,141.8,263.7,55.0,135.25,70.96,146.0,135.95,103.75,38.16,40.73,86.78,39.6,644.8,403.35,119.4
2019-11-07,141.55,263.3,54.55,135.15,69.12,145.35,136.35,106.7,38.06,39.59,87.08,39.01,647.8,405.35,119.3
2019-11-06,142.75,264.5,54.75,134.8,71.32,145.85,135.6,99.0,37.99,39.63,86.78,39.08,647.6,399.75,119.8
2019-11-05,142.65,263.1,54.3,135.5,71.58,143.15,135.9,98.1,38.11,39.06,85.64,39.36,650.0,400.45,119.8
2019-11-04,137.9,261.4,54.45,136.25,71.0,144.3,136.0,98.36,38.56,38.95,85.54,39.59,653.2,397.1,118.75
2019-11-01,138.15,263.1,54.45,136.05,70.12,143.0,136.6,99.34,38.14,38.46,83.56,39.5,652.0,390.2,118.3
2019-10-31,137.6,261.9,54.0,135.7,70.0,143.15,136.9,98.38,38.05,38.57,83.14,38.33,645.2,382.55,119.1
2019-10-30,138.1,263.8,53.45,134.75,69.84,141.05,134.75,98.48,38.08,38.64,83.92,38.23,651.6,385.5,117.1
2019-10-29,138.85,251.5,54.3,133.9,69.94,142.0,135.0,98.2,38.14,38.43,84.9,38.73,645.0,382.8,117.5
2019-10-28,140.9,244.8,55.85,134.9,69.5,139.65,135.3,97.84,38.54,38.42,85.16,38.8,663.4,383.05,117.2
2019-10-25,140.9,241.3,56.8,134.4,69.84,139.75,132.9,97.28,38.64,38.62,83.82,38.69,650.0,384.35,116.35
2019-10-24,142.5,241.2,56.45,133.3,69.24,138.9,132.6,97.04,38.67,38.82,84.26,38.61,625.6,380.5,116.55
2019-10-23,141.7,237.4,57.15,131.95,69.1,138.2,133.15,96.44,38.54,38.33,83.24,37.9,625.0,374.9,116.7
2019-10-22,140.6,238.9,58.9,132.6,68.98,139.0,135.85,97.24,38.8,38.55,83.9,38.93,630.4,374.95,115.95
2019-10-21,141.5,238.1,58.1,133.0,69.16,138.45,134.95,97.84,39.07,37.69,83.26,38.95,626.8,375.0,116.75
2019-10-18,138.25,240.6,58.05,134.7,69.58,140.6,137.45,96.58,38.68,37.71,81.98,37.74,632.8,375.0,117.35
2019-10-17,136.6,244.9,58.05,134.25,68.76,140.2,139.6,97.6,39.13,37.54,81.86,37.81,636.4,375.4,117.75
2019-10-16,134.0,244.7,57.95,136.3,68.78,139.95,140.95,96.94,38.83,37.68,81.32,37.46,634.2,377.8,117.85
2019-10-15,133.35,243.0,58.25,136.25,69.02,143.05,137.8,98.6,39.25,37.23,81.08,38.09,637.6,380.75,118.75
2019-10-14,132.0,243.6,57.1,134.15,67.2,141.0,137.95,97.86,38.35,37.14,80.34,37.99,636.2,379.0,118.8
2019-10-11,130.3,242.8,57.6,134.5,67.38,141.65,135.15,99.3,38.51,36.85,80.0,37.49,631.8,376.55,118.85
2019-10-10,130.15,244.8,58.1,132.6,65.72,139.7,134.8,97.38,37.81,42.35,77.48,36.89,629.4,376.55,117.45
2019-10-09,129.75,248.0,57.35,133.25,65.68,140.6,132.95,96.94,36.77,41.81,76.24,36.72,630.0,369.9,116.4
2019-10-08,130.2,246.0,56.75,129.55,67.02,139.75,133.1,97.72,36.05,42.38,74.5,37.26,616.4,352.0,115.8
2019-10-07,128.05,246.4,58.35,129.8,66.62,141.0,131.9,98.06,36.52,43.3,77.32,37.1,610.8,352.3,117.8
2019-10-04,127.6,246.1,57.05,127.6,65.48,139.2,130.05,97.86,35.81,43.19,75.94,37.06,609.4,350.65,115.27
2019-10-02,127.7,245.2,55.8,126.35,64.66,138.5,128.6,98.82,36.39,44.98,76.76,37.81,606.2,344.55,114.23
2019-10-01,133.15,250.7,56.55,129.55,65.42,143.2,132.1,102.75,36.8,45.43,80.4,38.36,627.2,357.4,117.27
2019-09-30,134.4,255.1,57.55,132.4,64.58,144.0,131.95,102.75,36.69,44.71,79.22,38.14,630.8,360.8,118.05
2019-09-27,131.0,252.1,58.05,129.9,64.2,143.8,131.75,101.8,35.94,44.94,79.46,38.4,631.0,359.0,117.32
2019-09-26,129.1,250.3,58.25,130.45,64.44,144.05,125.15,100.75,35.55,44.66,77.6,38.37,629.8,360.8,118.05
2019-09-25,129.2,247.3,58.3,128.95,63.56,141.85,125.5,98.76,34.56,45.01,77.38,38.81,620.0,361.15,117.05
2019-09-24,128.55,249.4,59.1,132.85,64.78,141.3,125.35,100.1,35.25,45.45,78.3,39.09,626.0,369.45,117.77
2019-09-23,131.1,248.6,59.25,131.9,64.84,140.65,130.2,99.68,35.18,46.24,78.58,39.61,623.8,367.2,118.41
2019-09-20,130.5,248.9,60.45,131.95,65.56,141.85,129.35,100.55,35.51,46.7,80.74,39.76,626.2,367.85,118.73
2019-09-19,128.85,247.6,61.1,130.75,65.78,142.0,132.0,100.7,35.37,45.66,80.66,39.85,630.0,367.3,118.05
2019-09-18,127.55,246.7,60.0,130.8,65.66,142.2,131.8,100.9,35.18,44.76,80.04,38.89,630.4,367.1,116.5
2019-09-17,129.55,246.3,59.6,131.4,65.28,141.55,128.45,99.98,35.14,44.79,80.1,38.8,623.0,369.0,114.86
2019-09-16,127.45,244.8,58.0,131.05,66.4,140.55,128.65,100.85,35.67,45.87,80.86,38.48,634.0,368.5,114.73
2019-09-13,129.75,244.4,57.9,130.4,66.9,144.05,129.55,100.05,35.17,45.78,81.0,38.37,643.8,382.45,115.27
2019-09-12,129.7,248.0,59.3,129.55,66.5,141.4,127.65,101.25,34.78,45.95,80.32,39.16,639.0,383.3,115.59
2019-09-11,130.6,247.2,58.45,129.35,65.68,138.8,125.85,100.55,35.16,45.6,80.08,39.93,635.8,379.2,114.23
2019-09-10,126.6,248.0,56.95,130.6,65.64,139.1,126.0,100.1,34.68,44.32,77.8,39.81,637.8,371.75,113.23
2019-09-09,119.3,250.1,60.25,131.95,65.86,141.55,129.3,100.15,33.68,43.51,78.1,39.96,656.2,378.0,112.36
2019-09-06,119.65,250.4,62.75,135.85,65.64,142.05,128.75,100.45,33.23,43.78,75.86,39.7,653.8,380.2,113.95
2019-09-05,118.3,252.3,62.1,134.6,64.68,137.55,130.05,103.95,33.33,43.66,75.72,39.97,640.0,376.65,112.82
2019-09-04,118.8,254.3,61.3,135.25,64.28,130.85,127.85,105.2,33.75,43.47,75.2,40.0,634.8,368.35,114.36
2019-09-03,118.0,250.8,60.85,133.25,64.04,131.75,128.0,103.7,33.62,43.21,75.1,39.2,621.2,355.4,114.77
2019-09-02,120.55,251.3,61.55,133.7,64.12,131.65,128.1,103.1,34.63,43.4,76.06,39.22,620.4,362.9,115.68
2019-08-30,117.75,249.0,62.3,133.65,64.22,132.0,126.1,102.9,34.67,43.47,76.0,38.75,613.8,363.45,114.77
2019-08-29,123.55,249.8,60.8,134.45,62.18,127.3,126.05,102.1,34.76,43.53,74.8,38.2,611.8,360.9,113.45
2019-08-28,122.45,244.8,60.25,132.85,62.3,126.6,128.25,101.75,32.69,42.89,73.38,38.42,615.8,356.45,112.55
2019-08-27,123.8,243.8,61.0,132.7,62.42,127.7,127.85,101.0,32.54,42.86,73.7,38.34,608.2,359.6,112.27
2019-08-26,121.4,239.1,61.2,131.45,62.46,127.7,125.75,101.5,32.86,42.83,73.78,37.75,608.4,352.35,112.0
2019-08-23,123.05,239.0,61.3,131.4,62.86,129.3,128.1,101.95,32.99,43.74,74.94,38.83,620.2,355.0,113.36
2019-08-22,122.8,239.4,61.85,130.85,62.8,129.35,130.2,102.55,32.75,43.5,74.46,38.92,627.6,360.5,113.64
2019-08-21,121.25,241.3,63.85,131.4,61.92,130.2,128.7,101.8,33.08,41.84,74.28,38.36,623.6,369.55,113.68
2019-08-20,122.0,236.5,62.45,128.7,62.02,126.75,127.95,101.9,32.39,42.57,73.12,38.49,615.8,355.9,111.73
2019-08-19,120.65,237.7,62.6,128.4,62.34,126.55,128.25,102.3,32.41,42.28,73.22,38.15,608.0,356.25,112.09
2019-08-16,120.45,232.9,61.3,127.4,61.42,126.4,127.35,99.94,31.92,42.22,72.6,37.86,607.4,348.7,112.09
2019-08-15,120.5,226.9,59.85,126.85,60.46,124.7,125.1,99.32,31.29,41.41,71.8,37.23,607.0,346.45,110.5
2019-08-14,121.0,230.0,59.75,128.1,62.1,125.2,129.9,98.9,31.52,41.63,74.48,38.62,610.0,348.35,110.91
2019-08-13,122.25,234.3,61.05,131.5,62.54,128.05,130.25,100.35,32.07,42.17,74.08,38.76,617.8,360.0,113.36
2019-08-12,122.3,233.7,60.9,128.7,62.4,126.8,129.15,100.35,31.66,42.3,73.26,38.22,615.0,355.8,112.59
2019-08-09,123.15,233.8,61.75,128.65,62.38,127.3,130.75,100.7,32.02,42.1,74.18,38.31,626.6,364.6,112.32
2019-08-08,122.5,238.1,62.65,128.6,62.02,124.7,132.2,99.84,32.12,42.01,73.7,37.75,621.8,367.0,112.82
2019-08-07,123.9,234.0,62.45,125.45,62.34,122.95,129.5,99.76,31.87,41.66,73.18,37.75,602.4,359.9,109.86
2019-08-05,122.2,230.0,60.2,121.05,63.1,123.25,134.15,99.64,31.27,43.07,72.18,38.01,604.0,341.45,109.09
2019-08-02,121.8,237.9,63.05,123.7,64.2,126.0,137.15,102.05,32.3,43.86,75.82,39.56,630.0,358.0,112.18
2019-08-01,120.35,244.9,64.4,127.5,63.22,130.1,136.1,104.75,32.97,44.41,77.98,39.95,632.6,379.2,114.77
2019-07-31,123.7,242.2,64.5,122.8,64.08,130.05,136.05,103.9,32.42,44.95,77.34,41.0,634.8,376.6,114.0
2019-07-30,124.6,243.0,65.15,118.9,64.74,130.8,138.55,103.25,32.38,46.3,77.28,40.49,628.8,373.55,114.32
2019-07-29,125.1,251.0,65.8,119.15,64.82,133.2,138.65,106.15,33.16,46.29,79.2,41.21,640.0,379.5,112.64
2019-07-26,123.3,249.4,64.1,119.15,64.42,133.3,136.05,104.95,33.31,45.33,79.62,41.57,641.6,384.95,112.73
2019-07-25,127.9,247.8,63.8,119.75,64.62,136.9,141.15,102.8,33.35,44.9,80.48,41.09,646.4,377.45,112.55
2019-07-24,129.35,248.9,65.4,118.5,64.54,136.25,141.5,102.55,32.98,44.04,78.04,41.18,644.6,394.0,113.05
2019-07-23,128.6,250.7,65.3,119.15,64.12,136.95,135.2,101.65,32.86,44.1,76.94,41.03,646.4,383.25,113.36
2019-07-22,127.2,249.7,63.95,118.45,64.14,133.2,135.55,100.65,32.45,44.13,76.62,40.2,642.8,385.85,111.73
2019-07-19,126.85,247.9,63.9,119.15,63.52,131.55,136.35,101.6,32.78,43.8,76.64,39.38,641.6,381.8,110.59
2019-07-18,127.0,250.0,64.0,118.45,63.76,129.8,137.5,101.5,32.87,47.28,76.18,39.18,638.8,383.8,111.14
2019-07-17,127.45,251.6,64.35,117.75,64.08,130.8,138.2,102.25,32.93,48.0,77.2,39.78,648.0,383.85,111.5
2019-07-16,127.5,251.3,64.2,118.4,63.12,129.75,139.6,102.3,32.9,48.04,77.66,39.9,636.4,385.2,111.91
2019-07-15,129.5,250.5,64.05,118.1,63.38,128.55,139.5,102.05,32.05,48.35,76.84,39.87,647.8,381.45,111.82
2019-07-12,130.35,251.1,62.75,117.85,62.34,128.85,139.4,101.2,31.77,47.62,77.0,40.05,648.6,383.55,111.23
2019-07-11,129.75,251.4,62.6,116.15,63.0,128.65,140.1,101.6,31.69,47.22,77.14,38.06,642.2,382.8,110.86
2019-07-10,130.25,253.2,62.4,116.2,62.78,129.8,139.65,101.1,32.05,46.97,77.52,38.05,642.6,381.2,111.95
2019-07-09,130.35,254.0,62.2,115.05,63.8,128.55,140.15,100.75,32.13,46.97,76.74,37.93,640.0,382.2,111.45
2019-07-08,131.65,254.1,62.35,114.8,64.04,129.05,140.5,99.46,32.6,47.64,77.58,38.52,635.6,382.6,111.68
2019-07-05,130.7,255.1,62.5,113.75,65.1,130.9,143.35,103.9,32.79,46.8,77.96,38.71,640.2,380.9,111.77
2019-07-04,129.0,255.4,63.1,114.4,65.08,131.65,145.25,105.4,32.97,46.96,80.86,38.56,641.8,381.5,112.05
2019-07-03,129.35,257.4,63.35,114.85,65.26,131.4,144.5,104.95,32.72,46.77,80.54,38.06,639.8,380.55,112.27
2019-07-02,130.95,253.4,63.45,114.0,64.9,130.0,143.5,102.55,32.48,46.48,80.26,38.08,638.6,377.65,111.5
2019-07-01,133.5,249.7,63.65,113.45,65.06,129.45,141.55,102.65,32.72,46.56,80.98,38.1,636.2,374.85,111.36
2019-06-28,131.1,248.6,63.75,114.45,63.86,128.55,139.2,101.75,32.65,44.94,79.72,37.32,628.2,373.9,111.45
2019-06-27,126.45,248.2,62.9,113.45,63.3,127.95,139.5,101.6,32.07,45.26,78.5,37.48,627.2,368.6,110.36
2019-06-26,126.0,253.5,63.35,109.35,63.24,131.2,139.9,101.55,31.83,45.15,78.54,36.96,627.4,368.9,109.73
2019-06-25,130.1,255.0,62.55,109.35,63.72,132.65,138.75,102.05,31.84,45.5,78.4,36.53,628.4,371.5,110.82
2019-06-24,128.65,255.1,62.5,110.55,64.08,132.3,140.4,101.75,31.97,45.13,78.4,36.44,631.0,369.9,111.14
2019-06-21,135.8,255.9,62.7,111.35,63.96,132.55,142.15,101.5,32.0,46.21,77.76,36.01,628.6,368.1,110.82
2019-06-20,135.4,256.2,62.4,112.85,63.38,133.05,141.5,103.45,32.25,48.47,77.92,36.4,638.0,370.85,110.05
2019-06-19,136.0,252.5,62.05,111.6,63.78,132.3,140.75,104.65,32.47,47.74,77.2,36.13,629.4,365.7,109.68
2019-06-18,135.4,253.6,61.6,109.55,62.58,128.6,137.75,105.25,31.92,47.8,77.02,34.63,611.2,369.05,109.91
2019-06-17,135.25,250.0,60.75,106.95,62.44,124.8,137.15,104.25,31.38,47.88,75.26,34.86,612.4,357.95,107.95
2019-06-14,135.45,246.9,60.9,106.55,62.04,122.85,137.8,104.2,31.31,47.8,74.98,34.68,610.6,353.55,108.0
2019-06-13,137.15,247.8,60.85,104.8,62.8,123.75,134.35,103.75,31.43,47.68,75.16,34.11,614.4,354.35,107.14
2019-06-12,138.0,247.3,60.4,105.35,63.22,123.75,135.3,104.25,31.38,47.66,73.98,34.39,616.0,356.7,107.14
2019-06-11,136.9,245.2,59.35,106.65,62.46,124.95,135.15,104.15,31.88,47.36,74.58,34.54,616.2,359.1,106.45
